api,section,endpoint,block,parameter,value_type,required,props,max,description,doc_url
messaging-api,Insights,Get rich menu insight by day,Response,clicks[].bounds,Object,,,,bounds object. Object representing the coordinates and size of the click area specified when the rich menu was created.,https://developers.line.biz/en/reference/messaging-api/#get-rich-menu-insight-by-day
messaging-api,Insights,Get rich menu insight by day,Response,clicks[].metrics,Array of objects,,,,Array of objects containing the number of rich menu clicks.,https://developers.line.biz/en/reference/messaging-api/#get-rich-menu-insight-by-day
messaging-api,Insights,Get rich menu insight by day,Response,clicks[].metrics[].date,String,,,,The date the rich menu click area represented by clicks.bounds was clicked. - Format: yyyyMMdd (e.g. 20230701) - Time zone: UTC+9,https://developers.line.biz/en/reference/messaging-api/#get-rich-menu-insight-by-day
messaging-api,Insights,Get rich menu insight by day,Response,clicks[].metrics[].count,Number,,,,The number of times the rich menu click area represented by clicks.bounds was clicked.,https://developers.line.biz/en/reference/messaging-api/#get-rich-menu-insight-by-day
messaging-api,Insights,Get rich menu insight by day,Response,clicks[].metrics[].uniqueUsers,Number,,,,The number of users who clicked the rich menu click area represented by clicks.bounds.,https://developers.line.biz/en/reference/messaging-api/#get-rich-menu-insight-by-day
messaging-api,Coupon,Create a coupon,Request headers,Authorization,Bearer {channel access token},true,required,,,https://developers.line.biz/en/reference/messaging-api/#create-a-coupon
messaging-api,Coupon,Create a coupon,Request headers,Content-Type,application/json,true,required,,,https://developers.line.biz/en/reference/messaging-api/#create-a-coupon
messaging-api,Coupon,Create a coupon,Request body,title,String,true,required,,Coupon title. Max length: 60,https://developers.line.biz/en/reference/messaging-api/#create-a-coupon
messaging-api,Coupon,Create a coupon,Request body,description,String,false,optional,,"Coupon guidelines. Set usage instructions and precautions for the coupon. Line breaks can be specified with n. Max length: 1,000",https://developers.line.biz/en/reference/messaging-api/#create-a-coupon
messaging-api,Coupon,Create a coupon,Request body,acquisitionCondition,Object,true,required,,Object containing coupon acquisition conditions.,https://developers.line.biz/en/reference/messaging-api/#create-a-coupon
messaging-api,Coupon,Create a coupon,Request body,acquisitionCondition.type,String,true,required,,"Coupon acquisition conditions type. Specify one of the following values: - normal: No conditions. All users can acquire. - lottery: Lottery. Only users who win the lottery can acquire. Coupons with ""friend referral"" acquisition conditions can't be created using the Messaging API. They can only be created from LINE Official Account Manager.",https://developers.line.biz/en/reference/messaging-api/#create-a-coupon
messaging-api,Coupon,Create a coupon,Request body,acquisitionCondition.lotteryProbability,Number,false,optional,,"Specify the coupon winning probability (%) as an integer from 1 to 99. For example, if you specify 50, the winning probability will be 50%. Required when acquisitionCondition.type is lottery.",https://developers.line.biz/en/reference/messaging-api/#create-a-coupon
messaging-api,Coupon,Create a coupon,Request body,acquisitionCondition.maxAcquireCount,Number,false,optional,,"The upper limit for the number of winners in a lottery. Specify an integer from 1 to 999999. If there is no upper limit, specify -1. Required when acquisitionCondition.type is lottery.",https://developers.line.biz/en/reference/messaging-api/#create-a-coupon
messaging-api,Coupon,Create a coupon,Request body,maxUseCountPerTicket,Number,true,required,,Number of times the coupon can be used. Specify one of the following values: - 1: Only once - -1: No limit,https://developers.line.biz/en/reference/messaging-api/#create-a-coupon
messaging-api,Coupon,Create a coupon,Request body,startTimestamp,Number,true,required,,Start date and time of the coupon validity period. Specify in UNIX time (in seconds).,https://developers.line.biz/en/reference/messaging-api/#create-a-coupon
messaging-api,Coupon,Create a coupon,Request body,endTimestamp,Number,true,required,,End date and time of the coupon validity period. Specify in UNIX time (in seconds). You cannot specify a date and time before the current date and time or before the start date and time.,https://developers.line.biz/en/reference/messaging-api/#create-a-coupon
messaging-api,Coupon,Create a coupon,Request body,timezone,String,true,required,,"The timezone is used as the basis for the validity period. Specify one of the following values: - ETC_GMT_MINUS_12: (UTC-12:00) Etc/GMT-12 - ETC_GMT_MINUS_11: (UTC-11:00) Etc/GMT-11 - PACIFIC_HONOLULU: (UTC-10:00) Pacific/Honolulu - AMERICA_ANCHORAGE: (UTC-09:00) America/Anchorage - AMERICA_LOS_ANGELES: (UTC-08:00) America/Los_Angeles, Santa_Isabel - AMERICA_PHOENIX: (UTC-07:00) America/Phoenix, Denver - AMERICA_CHICAGO: (UTC-06:00) America/Chicago, Guatemala - AMERICA_NEW_YORK: (UTC-05:00) America/New_York, Indiana/Indianapolis - AMERICA_CARACAS: (UTC-04:30) America/Caracas - AMERICA_SANTIAGO",https://developers.line.biz/en/reference/messaging-api/#create-a-coupon
messaging-api,Coupon,Create a coupon,Request body,reward,Object,true,required,,Reward object containing coupon type information.,https://developers.line.biz/en/reference/messaging-api/#create-a-coupon
messaging-api,Coupon,Create a coupon,Request body,visibility,String,true,required,,"Display coupon in LY Corporation services. One of these values: - PUBLIC: Display. - UNLISTED: Do not display. For more information, see Display coupon in LY Corporation services (only available in Japanese) in LINE for Business.",https://developers.line.biz/en/reference/messaging-api/#create-a-coupon
messaging-api,Coupon,Create a coupon,Request body,imageUrl,String,false,optional,2000,"URL of the coupon image. Max character limit: 2000 Protocol: HTTPS (TLS 1.2 or later) Image format: JPEG or PNG Max file size: 10MB (1MB or less recommended) The URL should be percent-encoded using UTF-8. For more information, see About the encoding of a URL specified in a request body property. Changing the image at the URL later won't update the coupon image The image at the URL is retrieved and stored on the LINE Platform when the coupon is created. Changing the image at the URL later won't update the coupon image.",https://developers.line.biz/en/reference/messaging-api/#create-a-coupon
messaging-api,Coupon,Create a coupon,Request body,couponCode,String,false,optional,,Coupon code displayed after opening the coupon. Max length: 16,https://developers.line.biz/en/reference/messaging-api/#create-a-coupon
messaging-api,Coupon,Create a coupon,Request body,barcodeImageUrl,String,false,optional,2000,"URL of the barcode image displayed after opening the coupon. Max character limit: 2000 Protocol: HTTPS (TLS 1.2 or later) Image format: JPEG or PNG Max file size: 10MB The URL should be percent-encoded using UTF-8. For more information, see About the encoding of a URL specified in a request body property. Changing the image at the URL later won't update the coupon image The image at the URL is retrieved and stored on the LINE Platform when the coupon is created. Changing the image at the URL later won't update the coupon image.",https://developers.line.biz/en/reference/messaging-api/#create-a-coupon
messaging-api,Coupon,Create a coupon,Request body,usageCondition,String,false,optional,,Coupon usage conditions. Max length: 100,https://developers.line.biz/en/reference/messaging-api/#create-a-coupon
messaging-api,Coupon,Create a coupon,Request body,type,String,true,required,,Coupon type. Specify one of the following values: - discount: Discount - free: Free - gift: Gift - cashBack: Cashback - others: Others,https://developers.line.biz/en/reference/messaging-api/#create-a-coupon
messaging-api,Coupon,Create a coupon,Request body,priceInfo,Object,false,optional,,Object containing discount or cashback details. Required when type is discount and cashBack.,https://developers.line.biz/en/reference/messaging-api/#create-a-coupon
messaging-api,Coupon,Create a coupon,Request body,priceInfo.type,String,true,required,,"Type of coupon discount details. When type is discount, you can specify one of the following values: - fixed: Display discount amount - percentage: Display discount percentage - explicit: Cross out original price and display discounted price When type is cashBack, you can specify one of the following values: - fixed: Display cashback amount - percentage: Display cashback percentage",https://developers.line.biz/en/reference/messaging-api/#create-a-coupon
messaging-api,Coupon,Create a coupon,Request body,priceInfo.fixedAmount,Number,false,optional,,Specify the discount amount as a positive integer. Required when priceInfo.type is fixed. The currency unit is automatically set according to the country or region of the LINE Official Account. - Taiwan: TWD (Taiwan Dollar) - Thailand: THB (Thai Baht) - All other countries and regions: JPY (Japanese Yen),https://developers.line.biz/en/reference/messaging-api/#create-a-coupon
messaging-api,Coupon,Create a coupon,Request body,priceInfo.percentage,Number,false,optional,,"Specify the discount rate (%) as an integer from 1 to 99. For example, if you specify 50, the discount rate will be 50%. Required when priceInfo.type is percentage.",https://developers.line.biz/en/reference/messaging-api/#create-a-coupon
messaging-api,Coupon,Create a coupon,Request body,priceInfo.originalPrice,Number,false,optional,,Specify the price before discount as a positive integer. Required when priceInfo.type is explicit. The currency unit is automatically set according to the country or region of the LINE Official Account. - Taiwan: TWD (Taiwan Dollar) - Thailand: THB (Thai Baht) - All other countries and regions: JPY (Japanese Yen),https://developers.line.biz/en/reference/messaging-api/#create-a-coupon
messaging-api,Coupon,Create a coupon,Request body,priceInfo.priceAfterDiscount,Number,false,optional,,Specify the price after discount as a positive integer. Required when priceInfo.type is explicit. The currency unit is automatically set according to the country or region of the LINE Official Account. - Taiwan: TWD (Taiwan Dollar) - Thailand: THB (Thai Baht) - All other countries and regions: JPY (Japanese Yen),https://developers.line.biz/en/reference/messaging-api/#create-a-coupon
messaging-api,Coupon,Create a coupon,Response,couponId,String,,,,"The coupon ID. Use this when sending a coupon message, etc.",https://developers.line.biz/en/reference/messaging-api/#create-a-coupon
messaging-api,Coupon,Discontinue a coupon,Request headers,Authorization,Bearer {channel access token},true,required,,,https://developers.line.biz/en/reference/messaging-api/#discontinue-a-coupon
messaging-api,Coupon,Discontinue a coupon,Request headers,Content-Type,application/json,true,required,,,https://developers.line.biz/en/reference/messaging-api/#discontinue-a-coupon
messaging-api,Coupon,Discontinue a coupon,Path parameters,couponId,String,true,required,,The coupon ID of the coupon to discontinue.,https://developers.line.biz/en/reference/messaging-api/#discontinue-a-coupon
messaging-api,Coupon,Get a list of coupons,Request headers,Authorization,Bearer {channel access token},true,required,,,https://developers.line.biz/en/reference/messaging-api/#get-a-list-of-coupons
messaging-api,Coupon,Get a list of coupons,Query parameters,limit,Number,false,optional,,The maximum number of coupons to retrieve in a single request. The default value is 20. Max value: 100,https://developers.line.biz/en/reference/messaging-api/#get-a-list-of-coupons
messaging-api,Coupon,Get a list of coupons,Query parameters,start,String,false,optional,,Value of the continuation token found in the next property of the JSON object returned in the response. Include this parameter to get the remaining coupons if you can't get all the coupons in a single request.,https://developers.line.biz/en/reference/messaging-api/#get-a-list-of-coupons
messaging-api,Coupon,Get a list of coupons,Query parameters,status,"The status of the coupon(s) to return. If omitted, coupons with all statuses will be included.",false,optional,,"- DRAFT: Draft saved coupon. - RUNNING: Upcoming or valid coupon. - CLOSED: Expired or discontinued coupon. If you specify multiple parameters, the OR condition is used.",https://developers.line.biz/en/reference/messaging-api/#get-a-list-of-coupons
messaging-api,Coupon,Get a list of coupons,Response,items,Array of objects,,,,An array of objects representing the coupons. Max: The number specified by limit,https://developers.line.biz/en/reference/messaging-api/#get-a-list-of-coupons
messaging-api,Coupon,Get a list of coupons,Response,items[].couponId,String,,,,The coupon ID.,https://developers.line.biz/en/reference/messaging-api/#get-a-list-of-coupons
messaging-api,Coupon,Get a list of coupons,Response,items[].title,String,,,,Coupon title.,https://developers.line.biz/en/reference/messaging-api/#get-a-list-of-coupons
messaging-api,Coupon,Get a list of coupons,Response,next,String,false,"annotation=""Not always included""",,"A continuation token to get the next coupons. This property is returned only when there are coupons that couldn't be retrieved in the items property of the response. The continuation token is valid for 24 hours (86,400 seconds).",https://developers.line.biz/en/reference/messaging-api/#get-a-list-of-coupons
messaging-api,Coupon,Get details of a coupon,Request headers,Authorization,Bearer {channel access token},true,required,,,https://developers.line.biz/en/reference/messaging-api/#get-details-of-a-coupon
messaging-api,Coupon,Get details of a coupon,Path parameters,couponId,String,true,required,,The ID of the coupon to retrieve details.,https://developers.line.biz/en/reference/messaging-api/#get-details-of-a-coupon
messaging-api,Coupon,Get details of a coupon,Response,couponId,String,,,,The coupon ID of the coupon.,https://developers.line.biz/en/reference/messaging-api/#get-details-of-a-coupon
messaging-api,Coupon,Get details of a coupon,Response,title,String,,,,Coupon title.,https://developers.line.biz/en/reference/messaging-api/#get-details-of-a-coupon
messaging-api,Coupon,Get details of a coupon,Response,description,String,false,"annotation=""Not always included""",,Coupon usage guide.,https://developers.line.biz/en/reference/messaging-api/#get-details-of-a-coupon
messaging-api,Coupon,Get details of a coupon,Response,acquisitionCondition,Object,,,,Object containing coupon acquisition conditions.,https://developers.line.biz/en/reference/messaging-api/#get-details-of-a-coupon
messaging-api,Coupon,Get details of a coupon,Response,acquisitionCondition.type,String,,,,Coupon acquisition conditions type. One of these values: - normal: No conditions. All users can acquire. - lottery: Lottery. Only users who win the lottery can acquire. - referral: Friend referral. Both the user who referred the coupon and the user who receives the referral can acquire.,https://developers.line.biz/en/reference/messaging-api/#get-details-of-a-coupon
messaging-api,Coupon,Get details of a coupon,Response,acquisitionCondition.lotteryProbability,Number,false,"annotation=""Not always included""",,The coupon winning probability (%) as an integer from 1 to 99. Included when acquisitionCondition.type is lottery.,https://developers.line.biz/en/reference/messaging-api/#get-details-of-a-coupon
messaging-api,Coupon,Get details of a coupon,Response,acquisitionCondition.maxAcquireCount,Number,false,"annotation=""Not always included""",,"The upper limit for the number of winners as an integer from 1 to 999999. If there is no upper limit, the value is -1. Included when acquisitionCondition.type is lottery.",https://developers.line.biz/en/reference/messaging-api/#get-details-of-a-coupon
messaging-api,Coupon,Get details of a coupon,Response,maxUseCountPerTicket,Number,,,,Number of times the coupon can be used. One of these values: - 1: Only once - -1: No limit,https://developers.line.biz/en/reference/messaging-api/#get-details-of-a-coupon
messaging-api,Coupon,Get details of a coupon,Response,maxTicketPerUser,Number,,,,"Number of coupons each user can acquire. If acquisitionCondition.type is referral, then the number is an integer from 1 to 30. Otherwise, the value is 1.",https://developers.line.biz/en/reference/messaging-api/#get-details-of-a-coupon
messaging-api,Coupon,Get details of a coupon,Response,startTimestamp,Number,,,,Start date and time of the coupon validity period in UNIX time (in seconds).,https://developers.line.biz/en/reference/messaging-api/#get-details-of-a-coupon
messaging-api,Coupon,Get details of a coupon,Response,endTimestamp,Number,,,,End date and time of the coupon validity period in UNIX time (in seconds).,https://developers.line.biz/en/reference/messaging-api/#get-details-of-a-coupon
messaging-api,Coupon,Get details of a coupon,Response,timezone,String,,,,"The timezone is used as the basis for the validity period. One of these values: - ETC_GMT_MINUS_12: (UTC-12:00) Etc/GMT-12 - ETC_GMT_MINUS_11: (UTC-11:00) Etc/GMT-11 - PACIFIC_HONOLULU: (UTC-10:00) Pacific/Honolulu - AMERICA_ANCHORAGE: (UTC-09:00) America/Anchorage - AMERICA_LOS_ANGELES: (UTC-08:00) America/Los_Angeles, Santa_Isabel - AMERICA_PHOENIX: (UTC-07:00) America/Phoenix, Denver - AMERICA_CHICAGO: (UTC-06:00) America/Chicago, Guatemala - AMERICA_NEW_YORK: (UTC-05:00) America/New_York, Indiana/Indianapolis - AMERICA_CARACAS: (UTC-04:30) America/Caracas - AMERICA_SANTIAGO: (UTC-04:00) Am",https://developers.line.biz/en/reference/messaging-api/#get-details-of-a-coupon
messaging-api,Coupon,Get details of a coupon,Response,reward,Object,,,,Reward object containing coupon type information.,https://developers.line.biz/en/reference/messaging-api/#get-details-of-a-coupon
messaging-api,Coupon,Get details of a coupon,Response,visibility,String,,,,"Display coupon in LY Corporation services. One of these values: - PUBLIC: Display. - UNLISTED: Do not display. For more information, see Display coupon in LY Corporation services (only available in Japanese) in LINE for Business.",https://developers.line.biz/en/reference/messaging-api/#get-details-of-a-coupon
messaging-api,Coupon,Get details of a coupon,Response,imageUrl,String,false,"annotation=""Not always included""",,URL of the coupon image.,https://developers.line.biz/en/reference/messaging-api/#get-details-of-a-coupon
messaging-api,Coupon,Get details of a coupon,Response,couponCode,String,false,"annotation=""Not always included""",,Coupon code displayed after opening the coupon.,https://developers.line.biz/en/reference/messaging-api/#get-details-of-a-coupon
messaging-api,Coupon,Get details of a coupon,Response,barcodeImageUrl,String,false,"annotation=""Not always included""",,URL of the barcode image displayed after opening the coupon.,https://developers.line.biz/en/reference/messaging-api/#get-details-of-a-coupon
messaging-api,Coupon,Get details of a coupon,Response,usageCondition,String,false,"annotation=""Not always included""",,Coupon usage conditions.,https://developers.line.biz/en/reference/messaging-api/#get-details-of-a-coupon
messaging-api,Coupon,Get details of a coupon,Response,status,The status of the coupon.,,,,- DRAFT: Draft saved coupon. - RUNNING: Upcoming or valid coupon. - CLOSED: Expired or discontinued coupon.,https://developers.line.biz/en/reference/messaging-api/#get-details-of-a-coupon
messaging-api,Coupon,Get details of a coupon,Response,createdTimestamp,Number,,,,Creation date and time of the coupon in UNIX time (in seconds).,https://developers.line.biz/en/reference/messaging-api/#get-details-of-a-coupon
messaging-api,Coupon,Get details of a coupon,Response,type,String,,,,Coupon type. One of the following values: - discount: Discount - free: Free - gift: Gift - cashBack: Cashback - others: Others,https://developers.line.biz/en/reference/messaging-api/#get-details-of-a-coupon
messaging-api,Coupon,Get details of a coupon,Response,priceInfo,Object,false,"annotation=""Not always included""",,Object containing discount or cashback details. Included when type is discount and cashBack.,https://developers.line.biz/en/reference/messaging-api/#get-details-of-a-coupon
messaging-api,Coupon,Get details of a coupon,Response,priceInfo.type,String,,,,"Type of coupon discount details. When type is discount, one of the following values: - fixed: Display discount amount - percentage: Display discount percentage - explicit: Cross out original price and display discounted price When type is cashBack, one of the following values: - fixed: Display cashback amount - percentage: Display cashback percentage",https://developers.line.biz/en/reference/messaging-api/#get-details-of-a-coupon
messaging-api,Coupon,Get details of a coupon,Response,priceInfo.fixedAmount,Number,false,"annotation=""Not always included""",,The discount amount. Included when priceInfo.type is fixed.,https://developers.line.biz/en/reference/messaging-api/#get-details-of-a-coupon
messaging-api,Coupon,Get details of a coupon,Response,priceInfo.percentage,Number,false,"annotation=""Not always included""",,The discount rate (%). Included when priceInfo.type is percentage.,https://developers.line.biz/en/reference/messaging-api/#get-details-of-a-coupon
messaging-api,Coupon,Get details of a coupon,Response,priceInfo.originalPrice,Number,false,"annotation=""Not always included""",,The price before discount. Included when priceInfo.type is explicit.,https://developers.line.biz/en/reference/messaging-api/#get-details-of-a-coupon
messaging-api,Coupon,Get details of a coupon,Response,priceInfo.priceAfterDiscount,Number,false,"annotation=""Not always included""",,The price after discount. Included when priceInfo.type is explicit.,https://developers.line.biz/en/reference/messaging-api/#get-details-of-a-coupon
messaging-api,Coupon,Get details of a coupon,Response,priceInfo.currency,Number,false,"annotation=""Not always included""",,The currency unit. Automatically set according to the country or region of the LINE Official Account. Included when priceInfo.type is fixed or explicit. - TWD: Taiwan Dollar (Taiwan) - THB: Thai Baht (Thailand) - JPY: Japanese Yen (All other countries and regions),https://developers.line.biz/en/reference/messaging-api/#get-details-of-a-coupon
messaging-api,Users,Get profile,Request headers,Authorization,Bearer {channel access token},true,required,,,https://developers.line.biz/en/reference/messaging-api/#get-profile
messaging-api,Users,Get profile,Path parameters,userId,User ID that is returned in a webhook event object. Do not use the LINE ID found on LINE.,true,required,,,https://developers.line.biz/en/reference/messaging-api/#get-profile
messaging-api,Users,Get profile,Response,displayName,String,,,,User's display name,https://developers.line.biz/en/reference/messaging-api/#get-profile
messaging-api,Users,Get profile,Response,userId,String,,,,User ID,https://developers.line.biz/en/reference/messaging-api/#get-profile
messaging-api,Users,Get profile,Response,language,String,false,"annotation=""Not always included""",,"User's language, as a BCP 47 language tag. Not included in the response if the user hasn't yet consented to the LY Corporation Privacy Policy. e.g. en for English.",https://developers.line.biz/en/reference/messaging-api/#get-profile
messaging-api,Users,Get profile,Response,pictureUrl,String,false,"annotation=""Not always included""",,"Profile image URL. ""https"" image URL. Not included in the response if the user doesn't have a profile image.",https://developers.line.biz/en/reference/messaging-api/#get-profile
messaging-api,Users,Get profile,Response,statusMessage,String,false,"annotation=""Not always included""",,User's status message. Not included in the response if the user doesn't have a status message.,https://developers.line.biz/en/reference/messaging-api/#get-profile
messaging-api,Users,Get a list of users who added your LINE Official Account as a friend,Request headers,Authorization,Bearer {channel access token},true,required,,,https://developers.line.biz/en/reference/messaging-api/#get-a-list-of-users-who-added-your-line-official-account-as-a-friend
messaging-api,Users,Get a list of users who added your LINE Official Account as a friend,Query parameters,limit,Number,false,optional,,The maximum number of user IDs to retrieve in a single request. The default value is 300. Max value: 1000,https://developers.line.biz/en/reference/messaging-api/#get-a-list-of-users-who-added-your-line-official-account-as-a-friend
messaging-api,Users,Get a list of users who added your LINE Official Account as a friend,Query parameters,start,String,false,optional,,"Value of the continuation token found in the next property of the JSON object returned in the response. Include this parameter to get the next array of user IDs. If you can't get all the user IDs in a single request, specify this parameter to get the remaining user IDs.",https://developers.line.biz/en/reference/messaging-api/#get-a-list-of-users-who-added-your-line-official-account-as-a-friend
messaging-api,Users,Get a list of users who added your LINE Official Account as a friend,Response,userIds,Array of strings,,,,"An array of strings indicating user IDs of users that have added the LINE Official Account as a friend. Due to the restrictions on user IDs that can be obtained, the number of user IDs in the userIds property may not reach the maximum number specified by limit, even if the next property is returned. Max: The number specified by limit",https://developers.line.biz/en/reference/messaging-api/#get-a-list-of-users-who-added-your-line-official-account-as-a-friend
messaging-api,Users,Get a list of users who added your LINE Official Account as a friend,Response,next,String,false,"annotation=""Not always included""",,"A continuation token to get the next user IDs. Returned only when there are remaining user IDs that weren't returned in the userIds property in the previous request. The continuation token expires in 24 hours (86,400 seconds).",https://developers.line.biz/en/reference/messaging-api/#get-a-list-of-users-who-added-your-line-official-account-as-a-friend
messaging-api,Membership,Get a user's membership subscription status,Request headers,Authorization,Bearer {channel access token},true,required,,,https://developers.line.biz/en/reference/messaging-api/#get-a-users-membership-subscription-status
messaging-api,Membership,Get a user's membership subscription status,Path parameters,userId,User ID of the user whose membership subscription status you want to view.,true,required,,"For more information on how to get user IDs, see Get user IDs in the Messaging API documentation.",https://developers.line.biz/en/reference/messaging-api/#get-a-users-membership-subscription-status
messaging-api,Membership,Get a user's membership subscription status,Response,subscriptions,Array,,,,An array of memberships.,https://developers.line.biz/en/reference/messaging-api/#get-a-users-membership-subscription-status
messaging-api,Membership,Get a user's membership subscription status,Response,membership,Object,,,,Object containing information about the membership plan.,https://developers.line.biz/en/reference/messaging-api/#get-a-users-membership-subscription-status
messaging-api,Membership,Get a user's membership subscription status,Response,membership.membershipId,Number,,,,Membership plan ID.,https://developers.line.biz/en/reference/messaging-api/#get-a-users-membership-subscription-status
messaging-api,Membership,Get a user's membership subscription status,Response,membership.title,String,,,,Membership plan name.,https://developers.line.biz/en/reference/messaging-api/#get-a-users-membership-subscription-status
messaging-api,Membership,Get a user's membership subscription status,Response,membership.description,String,,,,Membership plan description.,https://developers.line.biz/en/reference/messaging-api/#get-a-users-membership-subscription-status
messaging-api,Membership,Get a user's membership subscription status,Response,membership.benefits,Array of strings,,,,List of membership plan perks. Max number of perks: 5,https://developers.line.biz/en/reference/messaging-api/#get-a-users-membership-subscription-status
messaging-api,Membership,Get a user's membership subscription status,Response,membership.price,Number,,,,Monthly fee for membership plan. (e.g. 1500.00),https://developers.line.biz/en/reference/messaging-api/#get-a-users-membership-subscription-status
messaging-api,Membership,Get a user's membership subscription status,Response,membership.currency,String,,,,The currency of membership.price. One of: - JPY: Japanese Yen - TWD: Taiwan Dollar - THB: Thai Baht,https://developers.line.biz/en/reference/messaging-api/#get-a-users-membership-subscription-status
messaging-api,Membership,Get a user's membership subscription status,Response,user,Object,,,,Object containing user membership subscription information.,https://developers.line.biz/en/reference/messaging-api/#get-a-users-membership-subscription-status
messaging-api,Membership,Get a user's membership subscription status,Response,user.membershipNo,Number,,,,The user's member number in the membership plan.,https://developers.line.biz/en/reference/messaging-api/#get-a-users-membership-subscription-status
messaging-api,Membership,Get a user's membership subscription status,Response,user.joinedTime,Number,,,,UNIX time at which the user subscribed to the membership (in seconds).,https://developers.line.biz/en/reference/messaging-api/#get-a-users-membership-subscription-status
messaging-api,Membership,Get a user's membership subscription status,Response,user.nextBillingDate,String,,,,Next payment date for membership plan. - Format: yyyy-MM-dd (e.g. 2024-02-08) - Timezone: UTC+9,https://developers.line.biz/en/reference/messaging-api/#get-a-users-membership-subscription-status
messaging-api,Membership,Get a user's membership subscription status,Response,user.totalSubscriptionMonths,Number,,,,"The period of time in months that the user has been subscribed to a membership plan. If a user previously canceled and then re-subscribed to the same membership plan, only the period after the re-subscription will be counted.",https://developers.line.biz/en/reference/messaging-api/#get-a-users-membership-subscription-status
messaging-api,Membership,Get a list of users who have joined the membership,Request headers,Authorization,Bearer {channel access token},true,required,,,https://developers.line.biz/en/reference/messaging-api/#get-a-list-of-users-who-have-joined-the-membership
messaging-api,Membership,Get a list of users who have joined the membership,Path parameters,membershipId,Membership ID.,true,required,,,https://developers.line.biz/en/reference/messaging-api/#get-a-list-of-users-who-have-joined-the-membership
messaging-api,Membership,Get a list of users who have joined the membership,Query parameters,limit,Number,false,optional,,The maximum number of user IDs to obtain in a single request. The default value is 300. Max value: 1000,https://developers.line.biz/en/reference/messaging-api/#get-a-list-of-users-who-have-joined-the-membership
messaging-api,Membership,Get a list of users who have joined the membership,Query parameters,start,"The value of the continuation token. This is included in the next property of the JSON object returned in the response. If you can't obtain all of the user IDs in a single request, you can specify this parameter to obtain the remaining array.",false,optional,,,https://developers.line.biz/en/reference/messaging-api/#get-a-list-of-users-who-have-joined-the-membership
messaging-api,Membership,Get a list of users who have joined the membership,Response,userIds,Array of strings,,,,"An array of the user IDs of users who have joined the membership. The number of user IDs contained in the userIds property may not always be the same as the number specified by the limit query parameter, even when the next property is returned, because the user IDs that can be obtained depend on the users' status. For more information, see Restrictions on user IDs that can be obtained. Max: The number specified by the limit query parameter",https://developers.line.biz/en/reference/messaging-api/#get-a-list-of-users-who-have-joined-the-membership
messaging-api,Membership,Get a list of users who have joined the membership,Response,next,String,false,"annotation=""Not always included""",,"Continuation token. Used to obtain the list of the next user IDs. This property is only returned if there are user IDs that couldn't be obtained from the previous response's userIds property. The continuation token expires in 24 hours (86,400 seconds).",https://developers.line.biz/en/reference/messaging-api/#get-a-list-of-users-who-have-joined-the-membership
messaging-api,Membership,Get membership plans being offered,Request headers,Authorization,Bearer {channel access token},true,required,,,https://developers.line.biz/en/reference/messaging-api/#get-membership-plans-being-offered
messaging-api,Membership,Get membership plans being offered,Response,memberships,Array,,,,An array of membership plans being offered. Max number of plans: 5,https://developers.line.biz/en/reference/messaging-api/#get-membership-plans-being-offered
messaging-api,Membership,Get membership plans being offered,Response,memberships[].membershipId,Number,,,,Membership plan ID.,https://developers.line.biz/en/reference/messaging-api/#get-membership-plans-being-offered
messaging-api,Membership,Get membership plans being offered,Response,memberships[].title,String,,,,Membership plan name.,https://developers.line.biz/en/reference/messaging-api/#get-membership-plans-being-offered
messaging-api,Membership,Get membership plans being offered,Response,memberships[].description,String,,,,Membership plan description.,https://developers.line.biz/en/reference/messaging-api/#get-membership-plans-being-offered
messaging-api,Membership,Get membership plans being offered,Response,memberships[].benefits,Array of strings,,,,List of membership plan perks. Max number of perks: 5,https://developers.line.biz/en/reference/messaging-api/#get-membership-plans-being-offered
messaging-api,Membership,Get membership plans being offered,Response,memberships[].price,Number,,,,Monthly fee for membership plan. (e.g. 1500.00),https://developers.line.biz/en/reference/messaging-api/#get-membership-plans-being-offered
messaging-api,Membership,Get membership plans being offered,Response,memberships[].currency,String,,,,The currency of memberships[].price. One of: - JPY: Japanese Yen - TWD: Taiwan Dollar - THB: Thai Baht,https://developers.line.biz/en/reference/messaging-api/#get-membership-plans-being-offered
messaging-api,Membership,Get membership plans being offered,Response,memberships[].memberCount,Number,,,,Number of members subscribed to the membership plan.,https://developers.line.biz/en/reference/messaging-api/#get-membership-plans-being-offered
messaging-api,Membership,Get membership plans being offered,Response,memberships[].memberLimit,Number,,,,"The upper limit of members who can subscribe. If no upper limit is set, it will be null.",https://developers.line.biz/en/reference/messaging-api/#get-membership-plans-being-offered
messaging-api,Membership,Get membership plans being offered,Response,memberships[].isInAppPurchase,Boolean,,,,Payment method for users who subscribe to a membership plan. - true: In-app purchases - false: Browser payments,https://developers.line.biz/en/reference/messaging-api/#get-membership-plans-being-offered
messaging-api,Membership,Get membership plans being offered,Response,memberships[].isPublished,Boolean,,,,"Membership plan status. - true: Public - false: Private (the plan has been discontinued and is no longer public, but still offers perks)",https://developers.line.biz/en/reference/messaging-api/#get-membership-plans-being-offered
messaging-api,LINE Official Account (bot),Get LINE Official Account (bot) info,Request headers,Authorization,Bearer {channel access token},true,required,,,https://developers.line.biz/en/reference/messaging-api/#get-line-official-account-bot-info
